origin_idx,h,fold,y_true,pred_HistGBM,pred_RandomForest,pred_ExtraTrees,pred_ElasticNet,pred_BayesianRidge,pred_kNN,pred_Naive,pred_SeasonalNaive,pred_Stack
2021,2,10,7318.512,7620.6390857310835,7659.449726025053,7765.258372236107,7439.734375,7457.10595703125,7488.532099265715,7370.258,6722.881788888889,7617.107686436619
2021,3,10,7143.534,7611.579200703759,7669.965023667909,7762.304163868048,7439.70751953125,7456.00341796875,7458.985882096398,7370.258,6722.881788888889,7614.879059086559
2022,1,10,7318.512,7620.654847691823,7596.733040920884,7725.540769590272,7431.5107421875,7396.82666015625,7365.694920225417,7370.258,6787.052055555555,7569.606133606812
2022,2,10,7143.534,7566.821252559413,7584.123277545885,7773.532415951386,7431.48388671875,7395.72412109375,7368.619067124707,7370.258,6787.052055555555,7598.474380359206
2022,3,10,7139.946,7578.938441048216,7617.281535523068,7775.968247937499,7431.45703125,7394.62158203125,7361.233036625601,7370.258,6787.052055555555,7599.53578332058
2023,1,10,7143.534,7674.7034032325855,7558.202401506123,7506.780337052576,7456.8212890625,7490.40869140625,7588.84457585077,7318.512,6843.861538888889,7472.184708532065
2023,2,10,7139.946,7645.3497468758405,7574.948039776462,7534.4632067480115,7456.79443359375,7489.30615234375,7630.987130573468,7318.512,6843.861538888889,7488.656667607971
2023,3,10,7148.05,7649.579370047127,7616.157630779735,7564.538319081342,7456.767578125,7488.20361328125,7598.3545725060485,7318.512,6843.861538888889,7506.588829256365
2024,1,10,7139.946,7320.775321084098,7434.998833201472,7421.278904934521,7447.3935546875,7547.81103515625,7769.408177763588,7143.534,6905.244516666667,7442.143681531386
2024,2,10,7148.05,7273.733487989091,7452.75719152042,7434.164274859125,7447.3662109375,7546.70849609375,7797.484669432127,7143.534,6905.244516666667,7449.583384894815
2024,3,10,7276.069,7279.369956676475,7500.965500688871,7470.745160373012,7447.33935546875,7545.60595703125,7757.38954485455,7143.534,6905.244516666667,7471.486609755522
2025,1,10,7148.05,7332.870201166533,7335.675152535799,7351.361956070435,7394.99560546875,7585.75244140625,8058.661048963946,7139.946,6955.7127666666665,7414.106425883194
2025,2,10,7276.069,7297.689372897656,7368.898992018438,7352.755856109125,7394.96875,7584.64990234375,8119.478236476961,7139.946,6955.7127666666665,7414.531843311208
2026,1,10,7276.069,7469.754593686114,7415.5966743713625,7438.707176744043,7331.771484375,7617.6611328125,8108.846668756839,7148.05,6998.2543000000005,7479.732854127791
2027,3,10,7658.895,7654.242089865758,7652.207820837029,7653.496993979168,7247.65478515625,7533.041015625,7747.1836295208395,7276.069,7027.4182,7578.188537693766
2028,2,10,7658.895,8009.565283697099,7881.512565532511,7780.38528752083,7291.79150390625,7634.96240234375,7496.358542526001,7276.069,7059.473872222222,7694.96554368385
2028,3,10,7534.69,7955.18913888034,7896.348805421397,7799.568538743058,7291.7646484375,7633.85986328125,7471.797022831863,7276.069,7059.473872222222,7706.249414995102
2029,1,10,7658.895,7752.570298492082,7962.830846593062,7825.770096805555,7390.009765625,7628.87451171875,7192.07205361649,7276.069,7106.956869444444,7720.319042204428
2029,2,10,7534.69,7761.755282455729,7972.403837803711,7847.317743098213,7389.98291015625,7627.77197265625,7233.72289333799,7276.069,7106.956869444444,7733.0461181929695
2030,1,10,7534.69,7910.768528805257,7995.947978240879,7838.076929568456,7448.6171875,7573.03076171875,6968.064526593716,7658.895,7157.229936111111,7706.284140399319
2030,3,10,7810.015,7825.320077298906,8051.029270689623,7876.293834182541,7448.5634765625,7570.8251953125,6963.295067678221,7658.895,7157.229936111111,7728.76038150326
2031,2,10,7810.015,7993.262072666371,7948.0244093166075,7906.073661895838,7447.2978515625,7603.0888671875,7242.786477452848,7534.69,7205.064444444444,7759.386397767772
2031,3,10,7992.306,7869.165189812886,8010.806378604305,7919.86829827282,7447.27099609375,7601.986328125,7240.357366638626,7534.69,7205.064444444444,7767.381108884931
2032,1,10,7810.015,8028.380576044205,8026.073150279064,7949.3681318254,7612.04296875,7993.51220703125,7297.217070167721,7534.69,7253.309261111111,7936.454754283747
2032,2,10,7992.306,8261.542534157017,8061.79912178601,7985.9245153948405,7612.01611328125,7992.40966796875,7297.67089382268,7534.69,7253.309261111111,7958.343023386312
2033,1,10,7992.306,8016.9581896627105,8151.331168569646,8043.378699471232,7666.05859375,8374.001953125,7260.689892609301,7810.015,7307.3714944444455,8140.646943295886
